,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA,AAPL,BA,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-12,116.06184387207031,129.3249969482422,38.471893310546875,202.8800048828125,126.45999908447266,148.08999633789062,43.09000015258789,202.8800048828125,127.4800033569336,148.57000732421875,43.09000015258789,203.08999633789062,125.56999969482422,147.67999267578125,42.5099983215332,193.27999877929688,126.05999755859375,148.25999450683594,42.65999984741211,193.57000732421875,74474500,2998900,33268800,15649600
2015-02-13,116.630859375,130.75718688964844,39.168296813964844,203.77000427246094,127.08000183105469,149.72999572753906,43.869998931884766,203.77000427246094,127.27999877929688,149.83999633789062,43.869998931884766,205.99000549316406,125.6500015258789,147.63999938964844,43.150001525878906,200.91000366210938,127.27999877929688,147.97999572753906,43.380001068115234,202.89999389648438,54272200,3418600,40264900,6191000
2015-02-17,117.3191909790039,130.9231414794922,39.186279296875,204.35000610351562,127.83000183105469,149.9199981689453,43.58000183105469,204.35000610351562,128.8800048828125,149.9600067138672,44.0,205.6999969482422,126.91999816894531,148.52000427246094,43.189998626708984,201.5,127.48999786376953,148.72000122070312,43.970001220703125,205.6999969482422,63152400,3622400,33695700,3979600
2015-02-18,118.13603210449219,132.0147247314453,39.14133071899414,204.4600067138672,128.72000122070312,151.1699981689453,43.529998779296875,204.4600067138672,128.77999877929688,151.6199951171875,43.70000076293945,206.1699981689453,127.44999694824219,149.3699951171875,43.38999938964844,202.60000610351562,127.62999725341797,149.6999969482422,43.630001068115234,204.1699981689453,44891700,3722100,27111700,2713600
2015-02-19,117.88821411132812,134.26780700683594,39.114341735839844,211.7100067138672,128.4499969482422,153.75,43.5,211.7100067138672,129.02999877929688,154.24000549316406,43.529998779296875,212.44000244140625,128.3300018310547,151.0,43.04999923706055,203.75,128.47999572753906,151.0500030517578,43.18000030517578,205.0,37362400,4384000,27603400,5154100
2015-02-20,118.85188293457031,138.24998474121094,39.43805694580078,217.11000061035156,129.5,158.30999755859375,43.86000061035156,217.11000061035156,129.5,158.8300018310547,43.880001068115234,217.60000610351562,128.0500030517578,153.8000030517578,43.290000915527344,209.80999755859375,128.6199951171875,153.8000030517578,43.5099983215332,210.77999877929688,48948400,9366000,29721100,5982100
2015-02-23,122.06407928466797,135.1323699951172,39.69881820678711,207.33999633789062,133.0,154.74000549316406,44.150001525878906,207.33999633789062,133.0,155.9199981689453,44.189998626708984,218.1999969482422,129.66000366210938,153.36000061035156,43.650001525878906,206.3300018310547,130.02000427246094,155.0,43.70000076293945,215.66000366210938,70974100,8653700,32518800,8499800
2015-02-24,121.30231475830078,134.81797790527344,39.644866943359375,204.11000061035156,132.1699981689453,154.3800048828125,44.09000015258789,204.11000061035156,133.60000610351562,154.77999877929688,44.29999923706055,207.2899932861328,131.1699981689453,153.2100067138672,43.91999816894531,201.6999969482422,132.94000244140625,153.5,44.150001525878906,207.2899932861328,69228100,4391700,25271700,6603600
2015-02-25,118.20025634765625,133.62156677246094,39.55493927001953,203.75999450683594,128.7899932861328,153.00999450683594,43.9900016784668,203.75999450683594,131.60000610351562,154.74000549316406,44.09000015258789,207.13999938964844,128.14999389648438,152.13999938964844,43.79999923706055,202.5800018310547,131.55999755859375,154.30999755859375,43.95000076293945,204.94000244140625,74711700,4800500,29759800,3909500
2015-02-26,119.69622802734375,132.50375366210938,39.617889404296875,207.19000244140625,130.4199981689453,151.72999572753906,44.060001373291016,207.19000244140625,130.8699951171875,152.3800048828125,44.22999954223633,211.08999633789062,126.61000061035156,150.80999755859375,43.88999938964844,202.22000122070312,128.7899932861328,152.30999755859375,43.9900016784668,204.0,91287500,5149300,28957300,6472900
2015-02-27,117.89739990234375,131.7352752685547,39.42906188964844,203.33999633789062,128.4600067138672,150.85000610351562,43.849998474121094,203.33999633789062,130.57000732421875,151.88999938964844,44.20000076293945,208.5500030517578,128.24000549316406,150.4499969482422,43.65999984741211,202.8000030517578,130.0,151.0,44.130001068115234,206.89999389648438,62014800,4330700,33807700,3882100
2015-03-02,118.47557830810547,134.31149291992188,39.45603942871094,197.3300018310547,129.08999633789062,153.8000030517578,43.880001068115234,197.3300018310547,130.27999877929688,154.14999389648438,44.189998626708984,203.33999633789062,128.3000030517578,150.75,43.54999923706055,195.8300018310547,129.25,150.85000610351562,43.66999816894531,202.6999969482422,48096700,4622800,31924000,7922100
2015-03-03,118.72338104248047,135.85714721679688,38.91651916503906,199.55999755859375,129.36000061035156,155.57000732421875,43.279998779296875,199.55999755859375,129.52000427246094,156.91000366210938,43.83000183105469,200.24000549316406,128.08999633789062,154.1699981689453,43.09000015258789,195.32000732421875,128.9600067138672,154.7100067138672,43.560001373291016,196.80999755859375,37816300,8656600,31748600,4432300
2015-03-04,117.9708023071289,134.79176330566406,38.71870040893555,202.44000244140625,128.5399932861328,154.35000610351562,43.060001373291016,202.44000244140625,129.55999755859375,155.22000122070312,43.209999084472656,202.52000427246094,128.32000732421875,154.0,42.880001068115234,197.2100067138672,129.10000610351562,154.6199951171875,43.0099983215332,199.25,31666300,4476200,25748700,4222000
2015-03-05,116.01594543457031,134.8965606689453,38.76366424560547,200.6300048828125,126.41000366210938,154.47000122070312,43.11000061035156,200.6300048828125,128.75,155.97999572753906,43.2400016784668,206.19000244140625,125.76000213623047,154.30999755859375,42.81999969482422,200.14999389648438,128.5800018310547,154.86000061035156,43.06999969482422,202.85000610351562,56517100,3327200,23193500,4877000
